Model: LI-7810	SN: TG10-01234	TimeZone: UTC
SECONDS	DIAG	CO2	CH4	H2O	TEMP
1782985020	0	nan	nan	nan	18.20
1782985021	0	nan	nan	nan	18.20
1782985022	0	nan	nan	nan	18.20
1782985023	0	nan	nan	nan	18.20
1782985024	0	nan	nan	nan	18.20
1782985025	0	nan	nan	nan	18.20
1782985026	0	nan	nan	nan	18.20
1782985027	0	nan	nan	nan	18.20
1782985028	0	nan	nan	nan	18.20
1782985029	0	nan	nan	nan	18.20
1782985030	0	nan	nan	nan	18.20
1782985031	0	nan	nan	nan	18.20
1782985032	0	nan	nan	nan	18.20
1782985033	0	nan	nan	nan	18.20
1782985034	0	nan	nan	nan	18.20
1782985035	0	nan	nan	nan	18.20
1782985036	0	nan	nan	nan	18.20
1782985037	0	nan	nan	nan	18.20
1782985038	0	nan	nan	nan	18.20
1782985039	0	nan	nan	nan	18.20
1782985040	0	nan	nan	nan	18.20
1782985041	0	nan	nan	nan	18.20
1782985042	0	nan	nan	nan	18.20
1782985043	0	nan	nan	nan	18.20
1782985044	0	nan	nan	nan	18.20
1782985045	0	nan	nan	nan	18.20
1782985046	0	nan	nan	nan	18.20
1782985047	0	nan	nan	nan	18.20
1782985048	0	nan	nan	nan	18.20
1782985049	0	nan	nan	nan	18.20
1782985050	0	410.030	1949.480	15013.84	18.20
1782985051	0	410.075	1950.470	15004.17	18.20
1782985052	0	409.805	1949.349	15005.25	18.20
1782985053	0	410.013	1949.842	15004.22	18.20
1782985054	0	409.998	1949.573	15007.40	18.20
1782985055	0	410.088	1950.389	14999.05	18.20
1782985056	0	410.007	1950.564	14989.73	18.20
1782985057	0	410.047	1949.570	14999.06	18.20
1782985058	0	410.037	1949.521	15004.06	18.20
1782985059	0	410.088	1949.975	14995.15	18.20
1782985060	0	409.982	1949.660	14999.12	18.20
1782985061	0	410.122	1949.923	14996.54	18.20
1782985062	0	409.957	1949.824	15007.51	18.20
1782985063	0	410.053	1950.183	15003.75	18.20
1782985064	0	410.041	1950.215	15003.26	18.20
1782985065	0	410.214	1949.797	15003.11	18.20
1782985066	0	409.949	1949.593	14999.81	18.20
1782985067	0	410.062	1950.564	15000.99	18.20
1782985068	0	409.989	1949.580	14994.07	18.20
1782985069	0	409.918	1950.325	14989.07	18.20
1782985070	0	410.074	1950.272	15000.75	18.20
1782985071	0	409.933	1950.116	15001.62	18.20
1782985072	0	410.012	1950.109	15006.05	18.20
1782985073	0	410.087	1950.112	15007.86	18.20
1782985074	0	410.068	1950.034	15007.85	18.20
1782985075	0	410.029	1950.316	14995.01	18.20
1782985076	0	409.854	1949.840	14998.24	18.20
1782985077	0	409.953	1949.681	15002.40	18.20
1782985078	0	409.972	1950.747	15012.66	18.20
1782985079	0	409.913	1950.484	15007.40	18.20
1782985080	0	409.916	1949.900	15005.60	18.20
1782985081	0	410.038	1950.256	14998.06	18.20
1782985082	0	410.096	1950.398	14995.58	18.20
1782985083	0	410.073	1950.101	15003.94	18.20
1782985084	0	410.163	1950.263	14994.50	18.20
1782985085	0	410.086	1950.060	14998.81	18.20
1782985086	0	410.134	1950.629	14999.43	18.20
1782985087	0	410.217	1950.767	15007.96	18.20
1782985088	0	410.219	1950.688	14998.23	18.20
1782985089	0	410.301	1950.627	14987.80	18.20
1782985090	0	410.323	1950.601	15002.52	18.20
1782985091	0	410.312	1950.765	14996.50	18.20
1782985092	0	410.300	1951.106	15000.21	18.20
1782985093	0	410.367	1951.044	14999.57	18.20
1782985094	0	410.444	1951.254	14998.63	18.20
1782985095	0	410.483	1951.170	15003.95	18.20
1782985096	0	410.459	1951.256	14992.34	18.20
1782985097	0	410.426	1950.926	14997.41	18.20
1782985098	0	410.474	1951.141	15003.42	18.20
1782985099	0	410.590	1951.248	14996.93	18.20
1782985100	0	410.581	1951.990	14991.96	18.20
1782985101	0	410.612	1951.901	15003.34	18.20
1782985102	0	410.613	1951.698	15005.62	18.20
1782985103	0	410.642	1951.738	14999.78	18.20
1782985104	0	410.762	1951.402	14990.20	18.20
1782985105	0	410.772	1952.071	15003.53	18.20
1782985106	0	410.750	1951.646	14991.70	18.20
1782985107	0	410.814	1952.001	15001.54	18.20
1782985108	0	410.852	1952.247	14995.56	18.20
1782985109	0	410.950	1952.248	14994.20	18.20
1782985110	0	410.849	1952.454	14997.79	18.20
1782985111	0	410.941	1952.888	14999.08	18.20
1782985112	0	411.002	1952.667	14996.78	18.20
1782985113	0	411.063	1952.283	15002.94	18.20
1782985114	0	410.988	1952.442	14997.77	18.20
1782985115	0	411.031	1952.387	15004.90	18.20
1782985116	0	411.112	1952.813	15001.41	18.20
1782985117	0	411.036	1952.655	14996.51	18.20
1782985118	0	411.156	1953.291	14995.67	18.20
1782985119	0	411.270	1953.994	14991.76	18.20
1782985120	0	411.221	1952.903	15001.45	18.20
1782985121	0	411.123	1953.360	14998.23	18.20
1782985122	0	411.219	1953.235	14988.14	18.20
1782985123	0	411.259	1953.398	14997.32	18.20
1782985124	0	411.373	1953.567	14995.49	18.20
1782985125	0	411.342	1953.289	15007.88	18.20
1782985126	0	411.296	1953.534	14991.49	18.20
1782985127	0	411.407	1954.290	14992.79	18.20
1782985128	0	411.447	1954.135	15005.55	18.20
1782985129	0	411.445	1953.565	15006.78	18.20
1782985130	0	411.452	1953.782	14996.28	18.20
1782985131	0	411.636	1953.834	14996.84	18.20
1782985132	0	411.602	1953.889	15003.08	18.20
1782985133	0	411.637	1954.355	14988.36	18.20
1782985134	0	411.612	1954.308	14990.69	18.20
1782985135	0	411.617	1954.534	14998.60	18.20
1782985136	0	411.657	1954.112	15007.75	18.20
1782985137	0	411.646	1954.612	14997.82	18.20
1782985138	0	411.819	1954.688	15000.50	18.20
1782985139	0	411.764	1954.806	15005.67	18.20
1782985140	0	411.865	1954.866	15010.53	18.20
1782985141	0	411.809	1955.212	14997.12	18.20
1782985142	0	411.881	1955.421	14999.92	18.20
1782985143	0	411.899	1954.673	15009.11	18.20
1782985144	0	411.852	1955.615	14992.39	18.20
1782985145	0	412.036	1955.146	15005.14	18.20
1782985146	0	411.961	1955.718	14994.91	18.20
1782985147	0	411.955	1955.092	15000.51	18.20
1782985148	0	412.072	1955.322	14998.79	18.20
1782985149	0	412.070	1955.471	14995.21	18.20
1782985150	0	412.117	1956.022	14995.08	18.20
1782985151	0	412.135	1955.873	15001.38	18.20
1782985152	0	412.057	1955.745	15004.98	18.20
1782985153	0	412.148	1955.474	14999.35	18.20
1782985154	0	412.176	1955.820	15000.35	18.20
1782985155	0	412.296	1955.602	15002.86	18.20
1782985156	0	412.282	1955.935	14995.14	18.20
1782985157	0	412.294	1956.461	15003.70	18.20
1782985158	0	412.367	1956.641	15004.10	18.20
1782985159	0	412.362	1956.111	15013.02	18.20
1782985160	0	412.389	1956.473	14998.12	18.20
1782985161	0	412.439	1956.155	14997.71	18.20
1782985162	0	412.465	1956.628	15003.84	18.20
1782985163	0	412.616	1957.203	15004.10	18.20
1782985164	0	412.477	1956.634	14997.32	18.20
1782985165	0	412.477	1956.623	14997.98	18.20
1782985166	0	412.596	1957.242	15002.71	18.20
1782985167	0	412.574	1956.764	14995.86	18.20
1782985168	0	412.533	1956.991	14997.95	18.20
1782985169	0	412.617	1956.961	15000.45	18.20
1782985170	0	412.656	1957.172	15004.98	18.20
1782985171	0	412.642	1956.840	14996.98	18.20
1782985172	0	412.866	1956.974	14990.79	18.20
1782985173	0	412.735	1957.991	14990.42	18.20
1782985174	0	412.965	1957.169	14993.70	18.20
1782985175	0	412.832	1957.702	14993.43	18.20
1782985176	0	412.966	1957.384	14999.23	18.20
1782985177	0	412.898	1957.993	14994.06	18.20
1782985178	0	412.962	1957.727	14996.49	18.20
1782985179	0	412.963	1957.508	14996.13	18.20
1782985180	0	nan	nan	nan	18.20
1782985181	0	nan	nan	nan	18.20
1782985182	0	nan	nan	nan	18.20
1782985183	0	413.078	1958.160	14997.80	18.20
1782985184	0	413.132	1958.153	15006.61	18.20
1782985185	0	413.174	1958.704	15003.31	18.20
1782985186	0	413.188	1958.586	15000.08	18.20
1782985187	0	413.213	1958.560	14997.69	18.20
1782985188	0	413.204	1958.735	14997.83	18.20
1782985189	0	413.265	1959.348	15001.64	18.20
1782985190	0	413.379	1958.916	15002.92	18.20
1782985191	0	413.292	1958.546	14995.46	18.20
1782985192	0	413.420	1959.039	15000.18	18.20
1782985193	0	413.414	1958.517	14989.84	18.20
1782985194	0	413.466	1959.256	15001.06	18.20
1782985195	0	413.394	1959.059	15003.81	18.20
1782985196	0	413.493	1959.296	14998.60	18.20
1782985197	0	413.495	1959.329	15009.08	18.20
1782985198	0	413.527	1959.486	14995.59	18.20
1782985199	0	413.644	1958.750	15001.09	18.20
1782985200	0	413.588	1959.653	14999.82	18.20
1782985201	0	413.645	1959.568	14999.50	18.20
1782985202	0	413.572	1959.858	14999.43	18.20
1782985203	0	413.776	1959.380	15000.54	18.20
1782985204	0	413.763	1959.821	15004.24	18.20
1782985205	0	413.747	1959.684	15006.89	18.20
1782985206	0	413.763	1960.470	14999.99	18.20
1782985207	0	413.839	1960.680	15004.08	18.20
1782985208	0	413.899	1960.372	14996.49	18.20
1782985209	0	413.957	1960.452	15003.83	18.20
1782985210	0	413.941	1960.311	14996.19	18.20
1782985211	0	413.933	1960.271	15005.45	18.20
1782985212	0	414.009	1960.207	15011.05	18.20
1782985213	0	414.029	1960.583	14999.39	18.20
1782985214	0	414.079	1960.945	14989.04	18.20
1782985215	0	414.141	1961.019	14997.26	18.20
1782985216	0	414.001	1960.860	15006.16	18.20
1782985217	0	414.051	1960.805	15002.77	18.20
1782985218	0	414.216	1961.231	15001.24	18.20
1782985219	0	414.135	1960.816	15005.04	18.20
1782985220	0	414.202	1960.835	15002.42	18.20
1782985221	0	414.196	1961.374	15006.09	18.20
1782985222	0	414.318	1961.543	15004.60	18.20
1782985223	0	414.175	1961.531	15007.61	18.20
1782985224	0	414.324	1961.644	15001.79	18.20
1782985225	0	414.431	1960.981	15004.53	18.20
1782985226	0	414.350	1961.857	14998.46	18.20
1782985227	0	414.331	1962.203	14996.99	18.20
1782985228	0	414.458	1962.094	15008.53	18.20
1782985229	0	414.441	1962.164	15001.08	18.20
1782985230	0	414.553	1962.070	15004.02	18.20
1782985231	0	414.542	1962.161	15000.62	18.20
1782985232	0	414.517	1962.116	14997.07	18.20
1782985233	0	414.582	1962.355	15000.05	18.20
1782985234	0	414.670	1962.002	15007.18	18.20
1782985235	0	414.644	1962.844	15002.78	18.20
